"ID","MOD13Q1_NDVI_2013_305","MOD13Q1_NDVI_2013_321","MOD13Q1_NDVI_2013_337","MOD13Q1_NDVI_2013_353","MOD13Q1_NDVI_2014_001","MOD13Q1_NDVI_2014_017","MOD13Q1_NDVI_2014_033","MOD13Q1_NDVI_2014_049","MOD13Q1_NDVI_2014_065","MOD13Q1_NDVI_2014_081","MOD13Q1_NDVI_2014_097","MOD13Q1_NDVI_2014_113","MOD13Q1_EVI_2013_305","MOD13Q1_EVI_2013_321","MOD13Q1_EVI_2013_337","MOD13Q1_EVI_2013_353","MOD13Q1_EVI_2014_001","MOD13Q1_EVI_2014_017","MOD13Q1_EVI_2014_033","MOD13Q1_EVI_2014_049","MOD13Q1_EVI_2014_065","MOD13Q1_EVI_2014_081","MOD13Q1_EVI_2014_097","MOD13Q1_EVI_2014_113","MOD13Q1_SAVI_2013_305","MOD13Q1_SAVI_2013_321","MOD13Q1_SAVI_2013_337","MOD13Q1_SAVI_2013_353","MOD13Q1_SAVI_2014_001","MOD13Q1_SAVI_2014_017","MOD13Q1_SAVI_2014_033","MOD13Q1_SAVI_2014_049","MOD13Q1_SAVI_2014_065","MOD13Q1_SAVI_2014_081","MOD13Q1_SAVI_2014_097","MCD15A2H_Lai_2013_305","MCD15A2H_Lai_2013_313","MCD15A2H_Lai_2013_321","MCD15A2H_Lai_2013_329","MCD15A2H_Lai_2013_337","MCD15A2H_Lai_2013_345","MCD15A2H_Lai_2013_361","MCD15A2H_Lai_2014_001","MCD15A2H_Lai_2014_009","MCD15A2H_Lai_2014_017","MCD15A2H_Lai_2014_025","MCD15A2H_Lai_2014_033","MCD15A2H_Lai_2014_041","MCD15A2H_Lai_2014_049","MCD15A2H_Lai_2014_057","MCD15A2H_Lai_2014_065","MCD15A2H_Lai_2014_073","MCD15A2H_Lai_2014_081","MCD15A2H_Lai_2014_089","MCD15A2H_Lai_2014_097","MCD15A2H_Lai_2014_105","MCD15A2H_Lai_2014_113","MOD16A2_PET_500m_2013_305","MOD16A2_PET_500m_2013_313","MOD16A2_PET_500m_2013_329","MOD16A2_PET_500m_2013_337","MOD16A2_PET_500m_2013_345","MOD16A2_PET_500m_2013_361","MOD16A2_PET_500m_2014_001","MOD16A2_PET_500m_2014_009","MOD16A2_PET_500m_2014_017","MOD16A2_PET_500m_2014_025","MOD16A2_PET_500m_2014_033","MOD16A2_PET_500m_2014_041","MOD16A2_PET_500m_2014_049","MOD16A2_PET_500m_2014_057","MOD16A2_PET_500m_2014_065","MOD16A2_PET_500m_2014_073","MOD16A2_PET_500m_2014_081","MOD16A2_PET_500m_2014_089","MOD16A2_PET_500m_2014_097","MOD16A2_PET_500m_2014_105","MOD16A2_PET_500m_2014_113"
6683,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6684,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6685,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6686,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6687,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6688,0.6812,0.6182,0.2976,0.2232,0.2127,0.1513,0.0999,0.1563,0.1713,0.1534,0.132,0.1023,0.4733,0.4491,0.1595,0.1085,0.1038,0.0755,0.0463,0.0793,0.0791,0.0638,0.0541,0.0409,1.0217,0.9272,0.4464,0.3348,0.319,0.227,0.1499,0.2345,0.257,0.2301,0.1981,17,17,12,6,5,3,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,399,368,341,336,381,235,345,32765,417,464,539,490,32765,582,658,747,685,32765,726,820,758
6711,0.5022,0.3797,0.5898,0.5863,0.5863,0.5936,0.4904,0.3588,0.686,0.7961,0.7316,0.6556,0.2584,0.1968,0.3404,0.3575,0.3575,0.3191,0.2566,0.1577,0.4077,0.5359,0.4929,0.5002,0.7532,0.5696,0.8846,0.8795,0.8795,0.8904,0.7356,0.5381,1.029,1.194,1.0974,10,8,7,7,7,13,14,14,12,14,12,10,6,12,7,7,15,23,24,27,21,15,32765,367,324,240,318,120,289,220,339,374,460,453,32765,32765,604,647,605,640,622,688,706
6728,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6729,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6730,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
